Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
4080.ukbb.sumstats.gz,1001.ukbb.sumstats.gz,0.054,0.083,0.645,0.519,0.03,0.013,0.994,0.007,0.011,0.006
4080.ukbb.sumstats.gz,1011.ukbb.sumstats.gz,0.008,0.045,0.181,0.856,0.023,0.003,1.004,0.007,0.026,0.006
4080.ukbb.sumstats.gz,1021.ukbb.sumstats.gz,0.109,0.046,2.374,0.018,0.035,0.003,1.004,0.007,-0.005,0.007
4080.ukbb.sumstats.gz,102.ukbb.sumstats.gz,0.053,0.021,2.573,0.01,0.154,0.012,1.048,0.03,0.109,0.009
4080.ukbb.sumstats.gz,1070.ukbb.sumstats.gz,0.206,0.023,8.906,5.28E-19,0.1,0.004,1.056,0.01,0.127,0.007
4080.ukbb.sumstats.gz,1080.ukbb.sumstats.gz,-0.12,0.023,-5.098,3.42E-07,0.096,0.004,1.045,0.01,-0.083,0.007
4080.ukbb.sumstats.gz,1090.ukbb.sumstats.gz,-0.091,0.036,-2.505,0.012,0.042,0.003,1.002,0.007,-0.044,0.007
4080.ukbb.sumstats.gz,1100.ukbb.sumstats.gz,-0.148,0.032,-4.635,3.58E-06,0.057,0.003,1.029,0.009,-0.093,0.008
4080.ukbb.sumstats.gz,1160.ukbb.sumstats.gz,-0.002,0.028,-0.071,0.944,0.072,0.004,1.022,0.01,0.03,0.007
4080.ukbb.sumstats.gz,1170.ukbb.sumstats.gz,0.055,0.025,2.25,0.024,0.068,0.003,1.04,0.01,0.11,0.007
4080.ukbb.sumstats.gz,1180.ukbb.sumstats.gz,-0.011,0.023,-0.503,0.615,0.116,0.004,1.042,0.011,-0.047,0.008
4080.ukbb.sumstats.gz,1190.ukbb.sumstats.gz,0.067,0.023,2.925,0.003,0.081,0.004,1.023,0.01,0.048,0.007
4080.ukbb.sumstats.gz,1200.ukbb.sumstats.gz,0.043,0.026,1.639,0.101,0.062,0.003,1.019,0.009,0.04,0.007
4080.ukbb.sumstats.gz,1210.ukbb.sumstats.gz,-0.073,0.027,-2.73,0.006,0.059,0.003,1.025,0.009,-0.062,0.007
