Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
cad.add.160614.website.txt.tab.sumstats.gz,1001.ukbb.sumstats.gz,0.021,0.107,0.197,0.844,0.032,0.013,0.993,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1011.ukbb.sumstats.gz,-0.084,0.055,-1.518,0.129,0.022,0.003,1.004,0.006,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1021.ukbb.sumstats.gz,0.038,0.044,0.878,0.38,0.035,0.003,1.004,0.007,0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,102.ukbb.sumstats.gz,0.059,0.03,1.96,0.05,0.155,0.011,1.046,0.029,-0.003,0.007
cad.add.160614.website.txt.tab.sumstats.gz,1070.ukbb.sumstats.gz,0.229,0.031,7.47,8.00E-14,0.099,0.004,1.056,0.011,0.011,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1080.ukbb.sumstats.gz,-0.08,0.029,-2.77,0.006,0.096,0.004,1.045,0.009,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1090.ukbb.sumstats.gz,0.067,0.039,1.707,0.088,0.042,0.003,1.002,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1100.ukbb.sumstats.gz,-0.034,0.034,-1.014,0.31,0.057,0.003,1.029,0.009,-0.01,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1160.ukbb.sumstats.gz,-0.039,0.035,-1.112,0.266,0.071,0.004,1.024,0.01,-0.002,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1170.ukbb.sumstats.gz,-0.009,0.029,-0.298,0.766,0.068,0.003,1.039,0.011,0.002,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1180.ukbb.sumstats.gz,-0.008,0.025,-0.321,0.748,0.116,0.004,1.041,0.011,-0.005,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1190.ukbb.sumstats.gz,0.107,0.027,3.939,8.18E-05,0.081,0.004,1.023,0.01,0.004,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1200.ukbb.sumstats.gz,0.168,0.029,5.888,3.92E-09,0.062,0.003,1.018,0.009,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1210.ukbb.sumstats.gz,-0.149,0.033,-4.511,6.46E-06,0.059,0.003,1.025,0.009,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1220.ukbb.sumstats.gz,0.122,0.033,3.714,0,0.049,0.003,1.01,0.009,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1239.ukbb.sumstats.gz,0.223,0.034,6.636,3.22E-11,0.055,0.003,1.014,0.009,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1249.ukbb.sumstats.gz,-0.135,0.028,-4.807,1.53E-06,0.091,0.004,1.021,0.01,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1259.ukbb.sumstats.gz,0.246,0.067,3.658,0,0.01,0.002,1.012,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1269.ukbb.sumstats.gz,0.31,0.061,5.097,3.45E-07,0.012,0.002,1,0.006,0,0.005
