access,author,category,consortium,id,MRB-filename,LDHub-filename,mr,ncase,ncontrol,note,nsnp,path,pmid,population,priority,sample_size,sd,sex,subcategory,trait,unit,year
public,Dastani Z,Risk factor,ADIPOGen,1,adipogen.discovery.eur_.meta_.public.release.txt.tab,adipogen.discovery.eur_.meta_.public.release.txt.tab.sumstats.gz,1,NA,NA,NA,2675209,/projects/MRC-IEU/publicdata/GWAS_summary_data/ADIPOGEN,22479202,Mixed,1,39883,0.57,Males and females,Protein,Adiponectin,ln(mg/dL),2012
public,Jostins L,Disease,IIBDGC,10,CD.gwas_ichip_meta_release.txt.gz.tab,CD.gwas_ichip_meta_release.txt.gz.tab.sumstats.gz,1,14763,15977,NA,13898,/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD,23128233,European,1,30740,NA,Males and females,Autoimmune / inflammatory,Crohn's disease,log odds,2012
public,Randall JC,Risk factor,GIANT,100,GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN_N.txt.tab,GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN_N.txt.tab.sumstats.gz,1,NA,NA,Adjusted for BMI,2725796,/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013,23754948,European,15,60586,8.4548,Males,Anthropometric,Hip circumference,SD (cm),2013
public,Okbay,Risk factor,SSGAC,1000,DS_Full.txt.gz.tab,DS_Full.txt.gz.tab.sumstats.gz,1,NA,NA,NA,6524475,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181,27089181,European,1,161460,NA,Males and females,Psychiatric / neurological,Depressive symptoms,SD,2016
public,Okbay,Risk factor,SSGAC,1001,EduYears_Main.txt.gz.tab,EduYears_Main.txt.gz.tab.sumstats.gz,1,NA,NA,NA,8146841,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_education_educational_attainment_2016/,27225129,European,1,293723,3.71,Males and females,Education,Years of schooling,SD (years),2016
public,Kilpelainen,Risk factor,NA,1002,Leptin_Adjusted_for_BMI.txt.tab,Leptin_Adjusted_for_BMI.txt.tab.sumstats.gz,1,NA,NA,Adjusted for BMI; effect allele frequencies are missing,2474010,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Kilpelainen_Leptin,26833098,European,1,32161,NA,Males and females,Hormone,Leptin,log ng/ml,2016
public,Kilpelainen,Risk factor,NA,1003,Leptin_Not_Adjusted_for_BMI.txt.tab,Leptin_Not_Adjusted_for_BMI.txt.tab.sumstats.gz,1,NA,NA,Effect allele frequencies are missing,2473865,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Kilpelainen_Leptin,26833098,European,2,32161,NA,Males and females,Hormone,Leptin,log ng/ml,2016
public,Day,Risk factor,ReproGen,1004,Menopause_HapMap2_DayNG2015_18112015.txt.tab,Menopause_HapMap2_DayNG2015_18112015.txt.tab.sumstats.gz,1,NA,NA,NA,2418696,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ReproGen_Menopause,26414677,European,1,69360,3.93,Females,Reproductive aging,Age at menopause,years,2015
public,Manichaikul A,Risk factor,MESA,1005,MESA_MetaAnallogemph950Model2.csv.tab,MESA_MetaAnallogemph950Model2.csv.tab.sumstats.gz,1,NA,NA,NA,2968584,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema,24383474,Mixed,1,7667,0.708,Males and females,Lung disease,Percent emphysema,log (% emphysema + 1),2014
public,Gieger C,Risk factor,HaemGen,1006,MPV.txt.tab,MPV.txt.tab.sumstats.gz,1,NA,NA,Effect allele frequencies are missing,2690859,/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/HaemGen_platelets/data,22139419,European,1,66867,0.109,Males and females,Haemotological,Mean platelet volume,log fl,2011
